label,text
negatif,"Maafkan aku Menduakan cintamuBerat rasa hatiku..Tinggalkan dirinyaDan demi waktu..Yang bergulir di sampingmuMaafkanlah diriku..Sepenuh hatimuSeandainya bila..Ku bisa memilih"
negatif,"Terlalu sadis caramu Menjadikan diriku Pelampiasan cintamu agar dia kembali padamu Tanpa perduli sakitnya aku Tega niannya caramu Menyingkirkan diriku Dari percintaan ini agar dia kembali padamu"
negatif,"lagi musimnya goyang dua jari nikmati saja, ikuti trend ini lupakanlah masalahmu mari mari janganlah malu malu kita goyang tik tok lagi nikmatilah melodi goyang tik tok ke kanan dan ke kiri angkatlah tanganmu, goyangkan dua jari goyang tik tok ke kanan dan ke kiri gelengkan kepala, nikmati tik tok lagi"
negatif,"Lelaki buaya darat Busyet aku tertipu lagiMulutnya manis sekaliTapi hati bagai serigala"
negatif,"jangan opo, jangan kangkung Tempe opo, tempe koro Ngopo kok bingong, bojoku ditikong Lapo kok bingung, ra lapo lapo Aku ra nyongko kowe tego karo konco"
positif,"mimpi adalah kunci untuk kita menaklukkan dunia berlarilah tanpa lelah sampai engkau meraihnya laskar pelangi takkan terikat waktu bebaskan mimpimu di angkasa warnai bintang di jiwa menarilah"
positif,"Apa yang kau takutkan Dengan semua ini Bukankah kesedihan Sering kita alami Keadaan ini Buat kita terbiasa Dengarkan ku bicara Teruslah bermimpi Walau kenyataannya jauh berbeda Teruslah bermimpi"
positif,"Dulu kita sahabat, teman begitu hangat Mengalahkan sinar mentari Dulu kita sahabat, berteman bagai ulat Berharap jadi kupu-kupu Kini kita melangkah berjauh-jauhan Kau jauhi diriku karna sesuatu Mungkin ku terlalu bertindak kejauhan"
positif,"ketika ku mendengar bahwa kini kau tak lagi dengannya dalam benakku timbul tanya masihkah ada dia di hatimu bertahta atau ini saat bagiku untuk singgah di hatimu namun siapkah kau tuk jatuh cinta lagi meski bibir ini tak berkata bukan berarti ku tak merasa ada yang berbeda di antara kita dan tak mungkin ku melewatkanmu hanya karena diriku tak mampu untuk bicara bahwa aku inginkan kau ada di hidupku kini ku tak lagi dengannya"
positif,"Sudah maafkan aku, segala salahku Dan bila kau tetap bisu Ungkapkan salahmu Dan aku sifatku, dan aku khilafku Dan aku cintaku, dan aku rinduku"
